REGIÃO,PRODUTO,PREÇO MÉDIO REVENDA
CENTRO OESTE,ETANOL HIDRATADO,2.13595
CENTRO OESTE,GASOLINA COMUM,3.0781229299363058
CENTRO OESTE,GLP,48.181148549569656
CENTRO OESTE,GNV,2.0041529875246225
CENTRO OESTE,ÓLEO DIESEL,2.481534076433121
CENTRO OESTE,ÓLEO DIESEL S10,3.2411853224610825
NORDESTE,ETANOL HIDRATADO,2.3220753114382786
NORDESTE,GASOLINA COMUM,3.002337296532201
NORDESTE,GLP,42.22131242033706
NORDESTE,GNV,1.9253182062780267
NORDESTE,ÓLEO DIESEL,2.3475504600141543
NORDESTE,ÓLEO DIESEL S10,3.041957222770648
NORTE,ETANOL HIDRATADO,2.5307957068837896
NORTE,GASOLINA COMUM,3.149212413542046
NORTE,GLP,47.1745387695668
NORTE,GNV,2.000190371991247
NORTE,ÓLEO DIESEL,2.5699049872588278
NORTE,ÓLEO DIESEL S10,3.3106189063162357
SUDESTE,ETANOL HIDRATADO,2.164832484076433
SUDESTE,GASOLINA COMUM,3.000565286624204
SUDESTE,GLP,42.07781299776999
SUDESTE,GNV,1.7796836734693877
SUDESTE,ÓLEO DIESEL,2.33969872611465
SUDESTE,ÓLEO DIESEL S10,3.054424556213018
SUL,ETANOL HIDRATADO,2.268863636363636
SUL,GASOLINA COMUM,2.973135881104034
SUL,GLP,43.53546539278131
SUL,GNV,1.9079440887750747
SUL,ÓLEO DIESEL,2.3328615711252656
SUL,ÓLEO DIESEL S10,2.9817445759368835
